Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2015-06-02 23:04:38,2015-06-03 05:53:24,72%,6:48,,,,8821
2015-06-03 22:51:11,2015-06-04 06:25:47,53%,7:34,,,,8308
2015-06-04 22:33:19,2015-06-05 06:58:27,89%,8:25,,,,2559
2015-06-05 23:50:22,2015-06-06 07:00:30,81%,7:10,,,,7934
2015-06-06 23:14:14,2015-06-07 07:04:49,81%,7:50,,,,13556
2015-06-07 22:10:51,2015-06-08 06:43:13,66%,8:32,,,,15505
2015-06-08 22:52:32,2015-06-09 06:40:13,83%,7:47,,,,1426
2015-06-10 00:05:37,2015-06-10 07:27:56,75%,7:22,,,,7027
2015-06-10 23:09:35,2015-06-11 06:58:58,77%,7:49,,,,7123
2015-06-11 23:04:00,2015-06-12 06:54:57,72%,7:50,,,,13279
2015-06-12 23:02:51,2015-06-13 07:36:13,79%,8:33,,,,1220
2015-06-13 23:26:53,2015-06-14 07:14:03,69%,7:47,,,,16846
2015-06-14 22:37:50,2015-06-15 07:12:25,61%,8:34,,,,13089
2015-06-15 22:30:52,2015-06-16 06:44:52,77%,8:14,,,,977
2015-06-16 23:19:22,2015-06-17 07:13:24,63%,7:54,,,,11760
2015-06-17 23:09:16,2015-06-18 07:13:21,56%,8:04,,,,9036
2015-06-18 22:20:24,2015-06-19 06:52:55,75%,8:32,,,,1182
2015-06-20 22:56:38,2015-06-21 07:29:06,41%,8:32,,,,9407
2015-06-21 23:40:13,2015-06-22 07:15:34,85%,7:35,,,,10571
2015-06-22 22:27:21,2015-06-23 06:56:27,78%,8:29,,,,3004
2015-06-23 23:53:37,2015-06-24 06:29:59,75%,6:36,,,,8875
2015-06-25 00:52:27,2015-06-25 07:10:30,69%,6:18,,,,14078
2015-06-25 22:00:53,2015-06-26 06:50:55,95%,8:50,,,,1853
2015-06-26 23:23:47,2015-06-27 06:00:34,75%,6:36,,,,8663
2015-06-28 23:15:33,2015-06-29 06:58:49,77%,7:43,,,,13516
2015-06-29 22:08:44,2015-06-30 06:24:47,93%,8:16,,,,992
2015-06-30 23:34:42,2015-07-01 07:13:44,87%,7:39,,,,4210
2015-07-02 00:23:06,2015-07-02 07:15:30,60%,6:52,,,,13491
2015-07-02 22:14:08,2015-07-03 06:41:02,80%,8:26,,,,2726
2015-07-03 22:01:48,2015-07-04 06:43:34,98%,8:41,,,,19372
2015-07-04 22:23:21,2015-07-05 07:00:25,97%,8:37,,,,14655
2015-07-05 23:05:00,2015-07-06 06:58:17,83%,7:53,,,,19414
2015-07-06 22:06:53,2015-07-07 06:41:21,88%,8:34,,,,1214
2015-07-07 23:54:24,2015-07-08 06:39:04,73%,6:44,,,,1939
2015-07-08 21:55:24,2015-07-09 06:21:23,75%,8:25,,,,8829
2015-07-09 23:12:23,2015-07-10 06:44:26,80%,7:32,,,,2732
2015-07-10 23:43:49,2015-07-11 07:06:51,75%,7:23,,,,10573
2015-07-12 00:07:04,2015-07-12 07:12:04,75%,7:04,,,,17636
2015-07-12 22:28:29,2015-07-13 07:00:28,89%,8:31,,,,8201
2015-07-13 22:55:56,2015-07-14 06:40:16,55%,7:44,,,,5596
2015-07-14 23:16:06,2015-07-15 06:45:07,77%,7:29,,,,5219
2015-07-16 00:03:58,2015-07-16 07:13:14,77%,7:09,,,,14754
2015-07-16 22:28:30,2015-07-17 06:59:20,85%,8:30,,,,1685
2015-07-17 22:17:32,2015-07-18 06:45:11,80%,8:27,,,,4068
2015-07-18 22:08:10,2015-07-19 06:24:21,78%,8:16,,,,26687
2015-07-19 21:14:54,2015-07-20 06:30:22,99%,9:15,,,,10449
2015-07-20 22:09:32,2015-07-21 06:42:30,62%,8:32,,,,1364
2015-07-21 23:38:20,2015-07-22 06:29:40,80%,6:51,,,,9575
2015-07-23 00:02:43,2015-07-23 07:30:01,81%,7:27,,,,4527
2015-07-24 01:30:44,2015-07-24 08:01:18,72%,6:30,,,,10431
2015-07-25 00:13:22,2015-07-25 06:50:07,72%,6:36,,,,9776
2015-07-26 00:44:16,2015-07-26 09:02:48,83%,8:18,,,,8771
2015-07-26 22:02:44,2015-07-27 06:22:09,80%,8:19,,,,4209
2015-07-27 23:26:20,2015-07-28 06:30:30,79%,7:04,,,,1015
2015-07-28 23:00:28,2015-07-29 06:30:19,73%,7:29,,,,7798
2015-07-30 00:46:55,2015-07-30 06:29:46,54%,5:42,,,,6690
2015-07-30 22:37:11,2015-07-31 06:30:32,64%,7:53,,,,2398
2015-07-31 22:32:21,2015-08-01 06:30:26,87%,7:58,,,,7374
2015-08-02 23:02:34,2015-08-03 06:29:24,78%,7:26,,,,5697
2015-08-03 23:11:17,2015-08-04 06:30:01,67%,7:18,,,,1180
2015-08-04 23:31:44,2015-08-05 06:30:28,79%,6:58,,,,7178
2015-08-05 23:58:52,2015-08-06 07:14:07,74%,7:15,,,,14159
2015-08-06 22:33:02,2015-08-07 06:43:43,81%,8:10,,,,1244
2015-08-08 01:01:16,2015-08-08 07:45:25,72%,6:44,,,,4925
2015-08-08 23:44:29,2015-08-09 07:15:25,80%,7:30,,,,16589
2015-08-09 22:42:08,2015-08-10 06:29:46,72%,7:47,,,,16012
2015-08-10 22:24:23,2015-08-11 06:27:46,88%,8:03,,,,6436
2015-08-11 21:53:11,2015-08-12 06:29:55,92%,8:36,,,,3941
2015-08-12 23:22:10,2015-08-13 06:30:10,79%,7:07,,,,14794
2015-08-13 23:03:26,2015-08-14 06:07:10,62%,7:03,,,,3646
2015-08-14 23:13:09,2015-08-15 06:21:48,72%,7:08,,,,1251
2015-08-16 21:21:24,2015-08-17 06:30:32,90%,9:09,,,,8494
2015-08-17 23:11:52,2015-08-18 06:24:55,60%,7:13,,,,3598
2015-08-18 22:20:11,2015-08-19 06:30:00,87%,8:09,,,,5132
2015-08-19 23:33:31,2015-08-20 06:30:28,79%,6:56,,,,1073
2015-08-20 22:03:13,2015-08-21 06:23:48,86%,8:20,,,,1347
2015-08-21 23:44:10,2015-08-22 06:29:38,73%,6:45,,,,6074
2015-08-22 22:40:19,2015-08-23 06:04:27,80%,7:24,,,,14544
2015-08-23 22:51:59,2015-08-24 06:30:41,86%,7:38,,,,8375
2015-08-24 21:35:38,2015-08-25 06:28:41,91%,8:53,,,,1734
2015-08-25 23:13:22,2015-08-26 06:29:25,81%,7:16,,,,4423
2015-08-26 22:51:01,2015-08-27 06:30:32,84%,7:39,,,,1043
2015-08-27 22:56:32,2015-08-28 06:30:06,83%,7:33,,,,4617
2015-08-28 23:23:10,2015-08-29 06:51:57,79%,7:28,,,,8307
2015-08-30 22:03:59,2015-08-31 06:30:33,90%,8:26,,,,8378
2015-08-31 21:28:05,2015-09-01 05:00:01,67%,7:31,,,,1442
2015-09-02 00:27:46,2015-09-02 06:30:24,65%,6:02,,,,6266
2015-09-02 21:15:43,2015-09-03 06:30:06,99%,9:14,,,,5001
2015-09-03 22:40:30,2015-09-04 06:30:27,80%,7:49,,,,759
2015-09-04 21:39:39,2015-09-05 06:58:12,80%,9:18,,,,12965
2015-09-07 23:56:51,2015-09-08 06:30:30,68%,6:33,,,,9048
2015-09-08 22:01:29,2015-09-09 06:30:30,60%,8:29,,,,4323
2015-09-09 22:23:51,2015-09-10 06:30:36,87%,8:06,,,,969
2015-09-10 22:43:10,2015-09-11 06:29:13,86%,7:46,,,,1664
2015-09-12 01:40:45,2015-09-12 06:29:51,52%,4:49,,,,3753
2015-09-12 23:47:33,2015-09-13 06:27:16,80%,6:39,,,,2599
